UN	organization	organization	1
startup	organization	organization	1
internet	place	place/inanim	5
Europa	place	place/inanim	2
Europa	organization	organization	1
internet delle cose	abstract	abstract	4
Pcup	organization	organization	1
Aquarium Ventures	organization	organization	1
Crowdfundme	organization	organization	1
Unione europea	organization	organization	1
Federazione italiana rugby	organization	organization	1
Planet of plastic	organization	organization	1
National Geographic	organization	organization	1
Alcatraz	place	place/inanim	2
Milano	place	place/inanim	2
