# sent_id = uppsalaBitov_2.xml_2
# text = В жизни Левы Одоевцева, из тех самых Одоевцевых, не случалось особых потрясений - она в основном протекала.
1	В	_	_	_	_	_
2	жизни	_	_	_	_	_
3	Левы	_	_	_	_	_
4	Одоевцева	_	_	_	_	_
5	,	_	_	_	_	_
6	из	_	_	_	_	_
7	тех	_	_	_	_	_
8	самых	_	_	_	_	_
9	Одоевцевых	_	_	_	_	_
10	,	_	_	_	_	_
11	не	_	_	_	_	_
12	случалось	_	_	_	_	_
13	особых	_	_	_	_	_
14	потрясений	_	_	_	_	_
15	-	_	_	_	_	_
16	она	_	_	_	_	_
17	в	_	_	_	_	_
18	основном	_	_	_	_	_
19	протекала	_	_	_	_	_
20	.	_	_	_	_	_

# sent_id = uppsalaBitov_2.xml_3
# text = Образно говоря, нить его жизни мерно струилась из чьих-то божественных рук, скользила меж пальцев.
1	Образно	_	_	_	_	_
2	говоря	_	_	_	_	_
3	,	_	_	_	_	_
4	нить	_	_	_	_	_
5	его	_	_	_	_	_
6	жизни	_	_	_	_	_
7	мерно	_	_	_	_	_
8	струилась	_	_	_	_	_
9	из	_	_	_	_	_
10	чьих-то	_	_	_	_	_
11	божественных	_	_	_	_	_
12	рук	_	_	_	_	_
13	,	_	_	_	_	_
14	скользила	_	_	_	_	_
15	меж	_	_	_	_	_
16	пальцев	_	_	_	_	_
17	.	_	_	_	_	_

# sent_id = uppsalaBitov_2.xml_4
# text = Без излишней стремительности, без обрывов и узлов, она, эта нить, находилась в ровном и несильном натяжении и лишь временами немного провисала.
1	Без	_	_	_	_	_
2	излишней	_	_	_	_	_
3	стремительности	_	_	_	_	_
4	,	_	_	_	_	_
5	без	_	_	_	_	_
6	обрывов	_	_	_	_	_
7	и	_	_	_	_	_
8	узлов	_	_	_	_	_
9	,	_	_	_	_	_
10	она	_	_	_	_	_
11	,	_	_	_	_	_
12	эта	_	_	_	_	_
13	нить	_	_	_	_	_
14	,	_	_	_	_	_
15	находилась	_	_	_	_	_
16	в	_	_	_	_	_
17	ровном	_	_	_	_	_
18	и	_	_	_	_	_
19	несильном	_	_	_	_	_
20	натяжении	_	_	_	_	_
21	и	_	_	_	_	_
22	лишь	_	_	_	_	_
23	временами	_	_	_	_	_
24	немного	_	_	_	_	_
25	провисала	_	_	_	_	_
26	.	_	_	_	_	_

# sent_id = uppsalaBitov_2.xml_5
# text = Собственно, и принадлежность его к старому и славному русскому роду не слишком существенна.
1	Собственно	_	_	_	_	_
2	,	_	_	_	_	_
3	и	_	_	_	_	_
4	принадлежность	_	_	_	_	_
5	его	_	_	_	_	_
6	к	_	_	_	_	_
7	старому	_	_	_	_	_
8	и	_	_	_	_	_
9	славному	_	_	_	_	_
10	русскому	_	_	_	_	_
11	роду	_	_	_	_	_
12	не	_	_	_	_	_
13	слишком	_	_	_	_	_
14	существенна	_	_	_	_	_
15	.	_	_	_	_	_

# sent_id = uppsalaBitov_2.xml_6
# text = Если его родителям еще приходилось вспоминать и определять отношение к своей фамилии, то это было в давние годы, когда Левы еще не было или он был во чреве.
1	Если	_	_	_	_	_
2	его	_	_	_	_	_
3	родителям	_	_	_	_	_
4	еще	_	_	_	_	_
5	приходилось	_	_	_	_	_
6	вспоминать	_	_	_	_	_
7	и	_	_	_	_	_
8	определять	_	_	_	_	_
9	отношение	_	_	_	_	_
10	к	_	_	_	_	_
11	своей	_	_	_	_	_
12	фамилии	_	_	_	_	_
13	,	_	_	_	_	_
14	то	_	_	_	_	_
15	это	_	_	_	_	_
16	было	_	_	_	_	_
17	в	_	_	_	_	_
18	давние	_	_	_	_	_
19	годы	_	_	_	_	_
20	,	_	_	_	_	_
21	когда	_	_	_	_	_
22	Левы	_	_	_	_	_
23	еще	_	_	_	_	_
24	не	_	_	_	_	_
25	было	_	_	_	_	_
26	или	_	_	_	_	_
27	он	_	_	_	_	_
28	был	_	_	_	_	_
29	во	_	_	_	_	_
30	чреве	_	_	_	_	_
31	.	_	_	_	_	_

# sent_id = uppsalaBitov_2.xml_7
# text = А у самого Левы, с тех пор как он себя помнил, уже не возникало в этом необходимости, и был он скорее однофамильцем, чем потомком.
1	А	_	_	_	_	_
2	у	_	_	_	_	_
3	самого	_	_	_	_	_
4	Левы	_	_	_	_	_
5	,	_	_	_	_	_
6	с	_	_	_	_	_
7	тех	_	_	_	_	_
8	пор	_	_	_	_	_
9	как	_	_	_	_	_
10	он	_	_	_	_	_
11	себя	_	_	_	_	_
12	помнил	_	_	_	_	_
13	,	_	_	_	_	_
14	уже	_	_	_	_	_
15	не	_	_	_	_	_
16	возникало	_	_	_	_	_
17	в	_	_	_	_	_
18	этом	_	_	_	_	_
19	необходимости	_	_	_	_	_
20	,	_	_	_	_	_
21	и	_	_	_	_	_
22	был	_	_	_	_	_
23	он	_	_	_	_	_
24	скорее	_	_	_	_	_
25	однофамильцем	_	_	_	_	_
26	,	_	_	_	_	_
27	чем	_	_	_	_	_
28	потомком	_	_	_	_	_
29	.	_	_	_	_	_

# sent_id = uppsalaBitov_2.xml_8
# text = Он был Лева.
1	Он	_	_	_	_	_
2	был	_	_	_	_	_
3	Лева	_	_	_	_	_
4	.	_	_	_	_	_

# sent_id = uppsalaBitov_2.xml_9
# text = В младенчестве, правда (Лева был зачат в роковом году), случились с ним, вернее с его родителями, кой-какие неприятные перемещения в сторону их замечательного предка, так сказать, "во глубину сибирских руд".
1	В	_	_	_	_	_
2	младенчестве	_	_	_	_	_
3	,	_	_	_	_	_
4	правда	_	_	_	_	_
5	(	_	_	_	_	_
6	Лева	_	_	_	_	_
7	был	_	_	_	_	_
8	зачат	_	_	_	_	_
9	в	_	_	_	_	_
10	роковом	_	_	_	_	_
11	году	_	_	_	_	_
12	)	_	_	_	_	_
13	,	_	_	_	_	_
14	случились	_	_	_	_	_
15	с	_	_	_	_	_
16	ним	_	_	_	_	_
17	,	_	_	_	_	_
18	вернее	_	_	_	_	_
19	с	_	_	_	_	_
20	его	_	_	_	_	_
21	родителями	_	_	_	_	_
22	,	_	_	_	_	_
23	кой-какие	_	_	_	_	_
24	неприятные	_	_	_	_	_
25	перемещения	_	_	_	_	_
26	в	_	_	_	_	_
27	сторону	_	_	_	_	_
28	их	_	_	_	_	_
29	замечательного	_	_	_	_	_
30	предка	_	_	_	_	_
31	,	_	_	_	_	_
32	так	_	_	_	_	_
33	сказать	_	_	_	_	_
34	,	_	_	_	_	_
35	"	_	_	_	_	_
36	во	_	_	_	_	_
37	глубину	_	_	_	_	_
38	сибирских	_	_	_	_	_
39	руд	_	_	_	_	_
40	"	_	_	_	_	_
41	.	_	_	_	_	_
