# P	count	tag	form
0.08	1100	DET	-
0.2	2729	NOUN	-
0.11	1401	ADP	-
0.07	949	ADJ	-
0.08	1075	PROPN	-
0.12	1655	PUNCT	-
0.03	426	ADV	-
0.04	475	CCONJ	-
0.04	576	AUX	-
0.02	287	NUM	-
0.1	1351	VERB	-
0.06	758	PRON	-
0.0	18	SYM	-
0.02	277	PART	-
0.02	215	SCONJ	-
0.0	32	X	-
0.0	2	INTJ	-
1.0	679	DET	the
1.0	3	NOUN	prevalence
0.99	369	ADP	of
0.01	3	SCONJ	of
0.01	2	NOUN	of
1.0	18	NOUN	discrimination
1.0	9	ADP	across
1.0	7	ADJ	racial
1.0	2	NOUN	groups
0.96	213	ADP	in
0.04	8	SCONJ	in
1.0	1	ADJ	contemporary
1.0	10	PROPN	america
1.0	59	PUNCT	:
1.0	3	NOUN	results
0.97	65	ADP	from
0.03	2	SCONJ	from
1.0	270	DET	a
0.0	1	PRON	a
1.0	5	ADV	nationally
1.0	3	ADJ	representative
1.0	7	NOUN	sample
1.0	2	NOUN	adults
1.0	1	NOUN	introduction
1.0	610	PUNCT	.
1.0	5	ADJ	personal
1.0	5	NOUN	experiences
1.0	366	CCONJ	and
1.0	3	NOUN	bias
0.51	20	AUX	have
0.49	19	VERB	have
1.0	12	AUX	been
1.0	2	NOUN	focus
0.33	3	ADJ	much
0.67	6	ADV	much
1.0	2	ADJ	social
0.75	3	NOUN	science
0.25	1	PROPN	science
0.8	4	NOUN	research
0.2	1	PROPN	research
1.0	25	PUNCT	[
1.0	24	NUM	1
0.38	5	ADP	-
0.38	5	PUNCT	-
0.23	3	CCONJ	-
1.0	5	NUM	3
1.0	25	PUNCT	]
1.0	1	NOUN	sociologists
1.0	2	VERB	explored
1.0	1	ADJ	adverse
1.0	2	NOUN	consequences
0.89	8	ADP	–
0.11	1	SYM	–
1.0	5	NUM	5
1.0	38	PUNCT	;
1.0	1	NOUN	psychologists
1.0	3	VERB	examined
1.0	1	ADJ	mental
1.0	1	NOUN	processes
0.59	55	PRON	that
0.35	33	SCONJ	that
0.06	6	DET	that
1.0	1	VERB	underpin
1.0	1	ADJ	conscious
1.0	1	ADJ	unconscious
1.0	3	NOUN	biases
1.0	3	NUM	6
1.0	1	NOUN	neuroscientists
1.0	1	ADJ	neurobiological
1.0	1	NOUN	underpinnings
1.0	3	NUM	7
1.0	1	NUM	9
1.0	1	ADJ	evolutionary
1.0	1	NOUN	theorists
1.0	6	ADJ	various
1.0	4	NOUN	ways
1.0	1	NOUN	in-group
0.89	8	SYM	/
0.11	1	PUNCT	/
1.0	1	NOUN	out-group
1.0	1	VERB	emerged
0.89	8	NOUN	history
0.11	1	PROPN	history
1.0	11	PRON	our
1.0	2	NOUN	species
1.0	3	NUM	10
1.0	35	ADJ	many
1.0	1	NOUN	respects
1.0	604	PUNCT	,
1.0	1	NOUN	researchers
1.0	5	ADV	already
1.0	1	VERB	possess
1.0	1	NOUN	wealth
1.0	1	NOUN	knowledge
1.0	1	VERB	concerning
1.0	1	NOUN	origins
1.0	2	NUM	11
0.87	13	PRON	what
0.13	2	DET	what
1.0	18	ADV	also
1.0	22	AUX	should
1.0	39	PART	not
0.97	62	AUX	be
0.03	2	VERB	be
1.0	3	VERB	lost
1.0	2	NOUN	discussion
0.9	99	AUX	is
0.1	11	VERB	is
1.0	7	VERB	growing
1.0	1	NOUN	push
0.61	167	PART	to
0.38	104	ADP	to
0.0	1	X	to
1.0	3	VERB	implement
1.0	2	NOUN	policy
1.0	1	VERB	aimed
0.03	2	SCONJ	at
0.97	61	ADP	at
1.0	1	VERB	reducing
1.0	1	NOUN	occurrence
1.0	1	ADJ	discriminatory
1.0	1	NOUN	practices
1.0	3	ADJ	mandatory
1.0	4	NOUN	diversity
1.0	1	NOUN	trainings
1.0	2	ADJ	professional
1.0	1	NOUN	settings
0.96	97	ADP	for
0.04	4	SCONJ	for
1.0	2	NOUN	example
0.76	65	AUX	are
0.24	20	VERB	are
1.0	1	VERB	intended
1.0	1	VERB	reduce
1.0	1	NOUN	workplace
0.22	10	SCONJ	by
0.78	35	ADP	by
1.0	2	VERB	increasing
