встречал	встречать	VERB	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
западные	западный	ADJ	Case=Nom|Degree=Pos|Number=Plur
западные	западный	ADJ	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
максимум	максимум	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
максимум	максимум	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
историка	историк	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
авторов	автор	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
твою	твой	DET	Case=Acc|Gender=Fem|Number=Sing
наружу	наружу	ADV	Degree=Pos
предъявлено	предъявить	VERB	Aspect=Perf|Gender=Neut|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass
учебники	учебник	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
учебники	учебник	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
оперировать	оперировать	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act
коренных	коренной	ADJ	Case=Gen|Degree=Pos|Number=Plur
Между	между	ADP	_
Ведомости	ведомость	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
Ведомости	Ведомость	PROPN	_
инцидента	инцидент	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
электрическими	электрический	ADJ	Case=Ins|Degree=Pos|Number=Plur
стремительного	стремительный	ADJ	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
Индии	Индия	PROPN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
Индии	Индия	PROPN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
продукцию	продукция	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
тайной	тайна	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
добросовестно	добросовестно	ADV	Degree=Pos
физическая	физический	ADJ	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
лежала	лежать	VERB	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
Байкал	Байкал	PROPN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
Байкал	Байкал	PROPN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
представляют	представлять	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
оценить	оценить	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act
сознания	сознание	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
тарелка	тарелка	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
5,5	5,5	NUM	_
коллективной	коллективный	ADJ	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
Стоит	стоить	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
вред	вред	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
Дайсон	Дайсон	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
состояла	состоять	VERB	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
рождаются	рождаться	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid
копеек	копейка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
Science	Science	PROPN	Foreign=Yes
реагирования	реагирование	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
т	тонна	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
народного	народный	ADJ	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
народного	народный	ADJ	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
Теория	теория	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
займется	заняться	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid
борьба	борьба	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
картинка	картинка	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
Товарищ	товарищ	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
обнаружили	обнаружить	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
вчера	вчера	ADV	Degree=Pos
металла	металл	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
тревоги	тревога	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
дверях	дверь	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur
экспорта	экспорт	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
грехи	грех	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
соревнованиях	соревнование	NOUN	Animacy=Inan|Case=Loc|Gender=Neut|Number=Plur
получаются	получаться	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid
увидите	видеть	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act
ходить	ходить	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act
сдвиг	сдвиг	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
необходимыми	необходимый	ADJ	Case=Ins|Degree=Pos|Number=Plur
обменять	обменять	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act
существования	существование	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
рекламы	реклама	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
Абрамович	Абрамович	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
вступит	вступить	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act
обладатель	обладатель	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
начальник	начальник	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
подготовки	подготовка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
мама	мама	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
Маргарита	Маргарита	PROPN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
любимая	любимый	ADJ	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
ресурсах	ресурс	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur
городские	городской	ADJ	Case=Nom|Degree=Pos|Number=Plur
городские	городской	ADJ	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
резины	резина	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
преимущественно	преимущественно	ADV	Degree=Pos
задумался	задуматься	VERB	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
телевизионных	телевизионный	ADJ	Case=Gen|Degree=Pos|Number=Plur
ходов	ход	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
определиться	определиться	VERB	Aspect=Perf|VerbForm=Inf|Voice=Mid
Дмитрия	Дмитрий	PROPN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
исключая	исключать	VERB	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act
радоваться	радоваться	VERB	Aspect=Imp|VerbForm=Inf|Voice=Mid
лететь	лететь	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act
ожидают	ожидать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
реставраторы	реставратор	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
Клебанов	Клебанов	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
Шваб	Шваб	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
являлась	являться	VERB	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
увеличением	увеличение	NOUN	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
уметь	уметь	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act
переход	переход	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
переход	переход	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
пушка	пушка	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
неотъемлемой	неотъемлемый	ADJ	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing
присоединение	присоединение	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
трое	трое	NUM	Case=Nom
позиций	позиция	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
служб	служба	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
пришло	прийти	VERB	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
делаются	делать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass
снизу	снизу	ADV	Degree=Pos
желанию	желание	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
террористических	террористический	ADJ	Case=Gen|Degree=Pos|Number=Plur
километров	километр	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
оружие	оружие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
оружие	оружие	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
офицеров	офицер	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
офицеров	офицер	NOUN	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur
довольно	довольно	ADV	Degree=Pos
высота	высота	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
эффективными	эффективный	ADJ	Case=Ins|Degree=Pos|Number=Plur
согласны	согласный	ADJ	Degree=Pos|Number=Plur|Variant=Short
настоянию	настояние	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
обеими	оба	NUM	Case=Ins|Gender=Fem
уделено	уделить	VERB	Aspect=Perf|Gender=Neut|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass
Пауэлл	Пауэлл	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
среду	среда	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
одним	один	NUM	Case=Ins|Gender=Masc
одним	один	NUM	Case=Ins|Gender=Neut
