# P	count	tag	form
0.23	2374	NOUN	–
0.21	2106	PUNCT	–
0.12	1207	VERB	–
0.09	888	ADP	–
0.08	736	ADJ	–
0.06	574	PRON	–
0.05	456	CCONJ	–
0.05	439	ADV	–
0.04	381	PROPN	–
0.04	375	PART	–
0.03	285	DET	–
0.03	248	NUM	–
0.02	153	SCONJ	–
0.02	126	X	–
0.01	67	SYM	–
0.01	44	AUX	–
0.01	20	INTJ	–
1.00	3	ADV	снова
1.00	1	VERB	приобрести
1.00	2	NOUN	доза
1.00	766	PUNCT	,
1.00	219	ADP	в
1.00	4	NOUN	женщина
1.00	3	ADJ	важный
1.00	1	NOUN	верность
1.00	87	CCONJ	а
1.00	173	PART	не
1.00	1	NOUN	красота
1.00	487	PUNCT	.
0.75	23	PRON	то
0.13	4	SCONJ	то
0.13	4	PART	то
0.87	20	ADP	о
0.14	3	INTJ	о
0.42	40	PRON	что
0.58	55	SCONJ	что
0.02	1	ADV	что
1.00	40	PRON	ты
1.00	10	VERB	думать
0.92	283	CCONJ	и
0.09	26	PART	и
0.01	1	X	и
1.00	7	DET	какой
1.00	2	NOUN	поступок
1.00	1	VERB	совершать
1.00	11	ADV	уже
1.00	24	DET	тот
1.00	140	ADP	на
1.00	3	NOUN	лоб
1.00	1	VERB	спадать
1.00	1	NOUN	челка
1.00	33	PUNCT	...
1.00	34	CCONJ	но
1.00	4	VERB	жить
1.00	1	ADV	по-евангельски
0.80	43	PRON	это
0.21	11	PART	это
1.00	77	PUNCT	—
1.00	2	NOUN	причина
1.00	8	DET	твой
1.00	5	NOUN	проблема
0.88	7	PART	ведь
0.13	1	SCONJ	ведь
1.00	45	DET	этот
1.00	1	NOUN	цветок
1.00	2	VERB	цвести
1.00	38	ADP	для
1.00	110	PRON	я
1.00	110	PUNCT	!
0.28	13	ADV	как
0.71	33	SCONJ	как
0.03	1	CCONJ	как
1.00	21	PART	же
1.00	2	ADJ	больной
0.57	44	AUX	быть
0.44	34	VERB	быть
1.00	40	PRON	мы
1.00	5	NOUN	свет
1.00	1	NOUN	добро
1.00	1	VERB	струиться
1.00	87	ADP	с
1.00	6	NOUN	глаз
1.00	43	PRON	они
1.00	1	VERB	отличать
1.00	1	NOUN	харизма
1.00	4	ADJ	приятный
1.00	1	NOUN	внешность
1.00	4	ADJ	живой
1.00	1	ADJ	аналитический
1.00	3	NOUN	ум
1.00	6	ADJ	хороший
1.00	1	NOUN	воспитание
1.00	1	NOUN	манера
1.00	53	ADP	за
1.00	28	PRON	который
1.00	4	ADV	всегда
1.00	1	VERB	спрятать
1.00	4	ADJ	сильный
