# P	count	tag	form
0.16	47	PUNCT	_
0.03	9	PART	_
0.09	26	ADP	_
0.03	8	SCONJ	_
0.01	3	DET	_
0.05	15	ADV	_
0.03	9	PRON	_
0.10	30	ADJ	_
0.01	3	NUM	_
0.13	36	VERB	_
0.32	92	NOUN	_
0.03	8	CCONJ	_
1.00	1	ADJ	здоровом
1.00	3	NOUN	фибрина
1.00	1	NOUN	нарушениям
1.00	1	NOUN	Исследования
1.00	1	NOUN	кровоток
1.00	1	ADP	при
1.00	1	NOUN	молекула
1.00	1	ADJ	мышечной
1.00	1	NOUN	системы
1.00	1	VERB	расщепляется
1.00	1	PRON	оно
1.00	1	VERB	показали
1.00	1	ADV	например
1.00	1	PUNCT	-
1.00	1	NOUN	угрозу
1.00	1	NOUN	белок
1.00	1	VERB	останавливают
1.00	1	ADP	Через
1.00	1	ADJ	донорской
1.00	1	ADJ	острой
1.00	1	NOUN	необходимостью
1.00	1	ADJ	фибриновый
1.00	1	ADJ	тяжелых
1.00	1	NOUN	элементов
1.00	1	VERB	восполнять
1.00	2	NOUN	продукты
1.00	1	VERB	является
1.00	1	NOUN	сосуды
1.00	6	PART	не
1.00	1	ADJ	массивная
1.00	1	ADJ	последних
1.00	1	VERB	растворять
1.00	3	NOUN	свертывания
1.00	1	VERB	распространенного
1.00	1	NOUN	компенсация
1.00	1	SCONJ	чем
1.00	1	NOUN	переливание
1.00	1	ADJ	небольших
1.00	1	NOUN	покоя
1.00	1	PRON	этом
1.00	1	NOUN	действием
1.00	1	NOUN	потери
1.00	1	ADJ	нужно
1.00	8	ADP	в
1.00	1	ADV	сразу
1.00	1	NOUN	мышцу
1.00	1	NOUN	больному
1.00	1	VERB	тромбируя
1.00	1	ADJ	острая
1.00	1	SCONJ	как
1.00	1	NOUN	кислородообеспечения
1.00	1	ADV	Поэтому
1.00	1	PRON	их
1.00	1	NOUN	результате
1.00	1	NOUN	факторов
1.00	1	SCONJ	Если
1.00	1	NUM	сколько
1.00	2	NOUN	сосудах
1.00	2	NOUN	ранения
1.00	1	SCONJ	то
1.00	1	NOUN	больного
1.00	1	NOUN	показаниям
1.00	2	ADP	на
1.00	1	VERB	разобраться
1.00	3	ADP	к
1.00	1	NOUN	рост
1.00	1	ADJ	сама
1.00	2	NOUN	кровь
1.00	1	ADV	Более
1.00	1	VERB	обладающие
1.00	2	PRON	того
1.00	1	VERB	увеличивается
1.00	1	CCONJ	а
1.00	1	VERB	останавливается
0.17	1	PART	и
0.83	5	CCONJ	и
1.00	1	NOUN	количество
1.00	1	NOUN	способностью
1.00	1	NOUN	снижению
1.00	1	SCONJ	когда
1.00	1	ADP	после
1.00	1	NOUN	месте
1.00	2	NOUN	сгусток
1.00	1	ADV	вообще
1.00	1	ADJ	лежачему
1.00	1	VERB	компенсировать
1.00	1	ADJ	сосудистой
1.00	22	PUNCT	,
1.00	1	ADJ	глубоким
1.00	2	NOUN	повреждениях
1.00	1	ADV	немного
