# P	count	tag	form
0.04	107	PROPN	-
0.20	524	NOUN	-
0.21	558	PUNCT	-
0.02	51	SCONJ	-
0.08	218	ADJ	-
0.13	353	VERB	-
0.08	218	ADP	-
0.01	35	NUM	-
0.09	233	PRON	-
0.01	15	AUX	-
0.03	85	CCONJ	-
0.03	67	DET	-
0.04	109	ADV	-
0.03	72	PART	-
0.00	4	INTJ	-
0.50	1	PROPN	Русские
0.50	1	ADJ	Русские
1.00	9	NOUN	соболя
1.00	157	PUNCT	.
1.00	1	PROPN	О.
1.00	1	PROPN	Генри
1.00	1	SCONJ	Когда
1.00	1	ADJ	синие
1.00	241	PUNCT	,
1.00	15	SCONJ	как
1.00	1	NOUN	ночь
1.00	5	NOUN	глаза
0.03	1	VERB	Молли
0.97	28	PROPN	Молли
1.00	2	PROPN	Мак-Кивер
1.00	1	VERB	положили
0.50	4	PROPN	Малыша
0.50	4	NOUN	Малыша
1.00	7	PROPN	Брэди
1.00	30	ADP	на
1.00	1	NUM	обе
1.00	1	NOUN	лопатки
1.00	19	PRON	он
1.00	1	ADJ	вынужден
1.00	4	AUX	был
1.00	2	VERB	покинуть
1.00	1	NOUN	ряды
1.00	5	NOUN	банды
1.00	7	ADJ	«Дымовая
1.00	7	NOUN	труба»
1.00	1	ADJ	Такова
1.00	1	NOUN	власть
1.00	1	ADJ	нежных
1.00	1	NOUN	укоров
1.00	2	NOUN	подружки
0.95	56	CCONJ	и
0.05	3	PART	и
1.00	7	PRON	ее
1.00	1	ADJ	упрямого
1.00	2	NOUN	пристрастия
1.00	18	ADP	к
1.00	1	NOUN	порядочности
1.00	3	SCONJ	Если
1.00	3	DET	эти
1.00	1	NOUN	строки
1.00	1	VERB	прочтет
1.00	1	NOUN	мужчина
1.00	1	VERB	пожелаем
1.00	6	PRON	ему
1.00	1	VERB	испытать
1.00	7	PRON	себе
1.00	2	ADV	столь
1.00	6	PART	же
1.00	1	ADJ	благотворное
1.00	1	NOUN	влияние
1.00	1	ADV	завтра
1.00	31	PART	не
1.00	1	ADV	позднее
1.00	1	NUM	двух
1.00	1	NOUN	часов
1.00	1	ADV	пополудни
1.00	7	CCONJ	а
1.00	3	SCONJ	если
1.00	5	PRON	они
1.00	1	VERB	попадутся
1.00	1	NOUN	женщине
0.50	1	SCONJ	пусть
0.50	1	PART	пусть
1.00	1	VERB	любимый
1.00	1	NOUN	шпиц
1.00	1	VERB	явившись
1.00	1	PRON	ней
1.00	37	ADP	с
1.00	1	ADJ	утренним
1.00	1	NOUN	приветом
1.00	1	VERB	даст
1.00	1	VERB	пощупать
1.00	4	DET	свой
1.00	1	ADJ	холодный
1.00	1	NOUN	нос
1.00	108	PUNCT	—
1.00	1	NOUN	залог
1.00	1	ADJ	собачьего
1.00	1	NOUN	здоровья
1.00	1	ADJ	душевного
1.00	1	NOUN	равновесия
1.00	1	NOUN	хозяйки
1.00	1	NOUN	Банда
1.00	1	VERB	заимствовала
