# P	count	tag	form
0.00	194	_	_
0.00	11	INTJ	_
0.04	4751	PROPN	_
0.02	2047	SCONJ	_
0.05	5846	ADV	_
0.01	889	AUX	_
0.02	2755	DET	_
0.02	2688	NUM	_
0.00	144	SYM	_
0.03	3475	PART	_
0.09	10984	ADJ	_
0.24	28631	NOUN	_
0.10	11508	ADP	_
0.04	4154	CCONJ	_
0.18	21375	PUNCT	_
0.00	31	X	_
0.04	5022	PRON	_
0.11	12958	VERB	_
1.00	2	VERB	сталкиваются
1.00	1	NOUN	возмездия
1.00	2	VERB	сохранилась
1.00	1	PROPN	Дарданелл
1.00	1	ADJ	Понятное
1.00	1	NOUN	конструкцией
1.00	1	ADJ	искренних
1.00	1	ADJ	серый
1.00	1	VERB	задаются
1.00	1	VERB	списана
1.00	2	PROPN	Virgin
1.00	2	VERB	называемое
1.00	1	NOUN	козыри
1.00	1	ADJ	традиционных
0.50	1	ADV	Плюс
0.50	1	ADP	Плюс
1.00	1	NOUN	училище
1.00	1	NOUN	привычки
1.00	2	NOUN	бегствах
1.00	1	NOUN	шеи
1.00	2	NOUN	знакомство
1.00	3	NOUN	писателей
1.00	1	VERB	занялся
1.00	1	VERB	предусматривающую
1.00	3	ADV	благополучно
1.00	2	ADV	Раньше
1.00	1	ADJ	случайное
1.00	1	NOUN	Крышка
1.00	1	INTJ	Ах
1.00	3	DET	твои
1.00	7	NOUN	метров
1.00	5	NOUN	клиента
1.00	1	NOUN	любовников
1.00	1	ADJ	атомные
1.00	1	VERB	найдут
1.00	2	ADJ	аварийной
1.00	1	VERB	наговаривать
1.00	3	NOUN	водород
1.00	6	NUM	250
1.00	1	VERB	присвоил
1.00	1	PROPN	Фонда
1.00	5	ADJ	московских
1.00	4	ADP	насчет
1.00	1	VERB	потребив
1.00	3	NOUN	представитель
1.00	1	PROPN	Авроры
1.00	1	VERB	продумать
1.00	1	NOUN	славы
1.00	2	NOUN	Американцы
1.00	4	ADJ	телефонной
1.00	1	ADJ	Правильно
1.00	1	PROPN	Стапрана
1.00	1	NOUN	декорации
1.00	3	NOUN	здание
1.00	3	ADJ	Последние
1.00	4	PROPN	Вселенной
1.00	1	ADJ	подобными
1.00	1	NOUN	священником
1.00	6	ADV	где-нибудь
1.00	1	NOUN	политологов
1.00	2	NOUN	классик
1.00	1	VERB	сохранившихся
1.00	1	ADJ	неудачный
1.00	1	ADJ	младше
1.00	1	VERB	оставшись
1.00	1	VERB	расширил
1.00	1	ADJ	весомым
1.00	2	NOUN	составляющая
1.00	1	VERB	объяснена
1.00	1	NOUN	квартале
1.00	1	NOUN	опубликование
1.00	2	NOUN	секретарей
1.00	1	NOUN	гущу
1.00	10	ADV	ныне
1.00	1	NOUN	насосом
1.00	1	NOUN	эмиссия
1.00	1	VERB	используем
1.00	1	VERB	распространилась
1.00	1	ADJ	случайны
1.00	1	NOUN	весну
1.00	1	VERB	прятаться
1.00	1	ADV	по-китайски
1.00	2	VERB	находитесь
1.00	2	ADJ	карандашных
1.00	1	ADJ	налоговую
1.00	1	NOUN	Надобность
1.00	4	VERB	составила
1.00	1	NOUN	котлы
1.00	1	ADJ	слабое
1.00	1	NOUN	Бренд
1.00	2	NUM	1964
1.00	1	NOUN	Представитель
1.00	1	NOUN	строя
