общественный парк	place	place	1
Эраст Фандорин	person	person/male	1
молодой человек	person	person/male	1
Москва	place	place	1
Петр Кокорин	person	person/male	1
Амалия Бежецкая	person	person/female	1
Ипполит Зуров	person	person/male	1
студент Ахтырцев	person	person/male	1
леди Эстер	person person/female	1
англичанка Маргарета Эстер	person	person/female 	1
Иван Францевич Бриллинг	person	person/male	1
Петербург	place	place	1
Лондон	place	place	1
портфель	object	object	1
Россия	place	place	1
Каннингем	person	person/male	1
